1	3		1			14
1	4	1	2			
1	5	1	3			
1	6	1	4			
1	7	1	5			
1	8	1	6			
1	9	1	7			
1	10	1	8			
1	13		1			
1	14	1	2			
1	15	1	3			
1	17		1			
1	18	1	2			
1	19	1	3			
1	20	1	4			
1	21	1	5			
1	22	1	6			
1	24		1			
1	25	1	2			
1	28		1			
1	29	1	2			
1	30	1	3			
1	32		1			
1	34		1			
1	35	1	2			
1	37		1			
1	39		1			
1	42		1			
1	44		1			
1	45	1	2			
1	50		1			
1	53		1			
1	57		1			
1	59		1			
1	60	1	2			
1	62		1			
1	64		1			
1	68		1			
1	71		1			
1	72	1	2			
1	73	1	3			
1	76		1			
1	77	1	2			
1	78	1	3			
1	79	1	4			
1	81		1			
1	83		1			
1	86		1			
1	88		1			
1	91		1			
1	93		1			
1	94	1	2			
1	97		1			
1	100		1			
2	4		1			
2	7		1			
2	9		1			
2	10	1	2			
2	11	1	3			
2	12	1	4			
2	13	1	5			
2	14	1	6			
2	15	1	7			
2	17		1			
2	18	1	2			
2	20		1			
2	21	1	2			
2	23		1			
2	24	1	2			
2	25	1	3			
2	26	1	4			
2	27	1	5			
2	28	1	6			
2	29	1	7			
2	33		1			
2	34	1	2			
2	35	1	3			
2	37		1			
2	38	1	2			
2	39	1	3			
2	40	1	4			
2	41	1	5			
2	42	1	6			
2	44		1			
2	45	1	2			
2	46	1	3			
2	47	1	4			
2	49		1			
2	52		1			
2	53	1	2			
2	54	1	3			
2	56		1			
2	58		1			
2	61		1			
2	64		1			
2	65	1	2			
2	66	1	3			
2	67	1	4			
2	68	1	5			
2	70		1			
2	71	1	2			
2	72	1	3			
2	73	1	4			
2	74	1	5			
2	75	1	6			
2	77		1			
2	79		1			
2	80	1	2			
2	83		1			
2	84	1	2			
2	86		1			
2	87	1	2			
2	88	1	3			
2	89	1	4			
2	91		1			
2	92	1	2			
2	93	1	3			
2	95		1			
2	96	1	2			
2	97	1	3			
2	98	1	4			
2	100		1			
3	1		1			
3	2	1	2			
3	3	1	3			
3	8		1			
3	11		1			
3	12	1	2			
3	13	1	3			
3	14	1	4			
3	15	1	5			
3	21		1			
3	23		1			
3	25		1			
3	26	1	2			
3	29		1			
3	30	1	2			
3	31	1	3			
3	32	1	4			
3	34		1			
3	35	1	2			
3	38		1			
3	40		1			
3	41	1	2			
3	46		1			
3	48		1			
3	50		1			
3	51	1	2			
3	52	1	3			
3	55		1			
3	56	1	2			
3	58		1			
3	59	1	2			
3	60	1	3			
3	62		1			
3	64		1			
3	67		1			
3	68	1	2			
3	70		1			
3	72		1			
3	74		1			
3	76		1			
3	78		1			
3	80		1			
3	84		1			
3	86		1			
3	89		1			
3	90	1	2			
3	91	1	3			
3	93		1			
