20	20		196											
20	40		196					1000	10000					
21	61		195						6982			Ответ:	118	10000
21	82		195											
21	103		191											
24	127		190											
26	153		190											
28	181		190											
28	209		186											
31	240		186											
31	271		186											
31	302		185											
32	334		185											
32	366		183											
32	398		182											
32	430		182											
34	464		3018											
34	498													
34	532													
35	567													
35	602													
35	637													
36	673													
38	711													
38	749													
39	788													
40	828													
40	868													
41	909													
41	950													
42	992													
43	1035													
44	1079													
44	1123													
44	1167													
45	1212													
45	1257													
46	1303													
46	1349													
48	1397													
48	1445													
48	1493													
50	1543													
52	1595													
53	1648													
54	1702													
56	1758													
57	1815													
58	1873													
58	1931													
58	1989													
58	2047													
59	2106													
59	2165													
62	2227													
66	2293													
66	2359													
68	2427													
68	2495													
71	2566													
72	2638													
73	2711													
74	2785													
77	2862													
81	2943													
81	3024													
84	3108													
86	3194													
86	3280													
86	3366													
88	3454													
90	3544													
93	3637													
94	3731													
94	3825													
94	3919													
94	4013													
97	4110													
100	4210													
102	4312													
109	4421													
109	4530													
113	4643													
113	4756													
114	4870													
114	4984													
114	5098													
115	5213													
115	5328													
116	5444													
117	5561													
119	5680													
119	5799													
120	5919													
120	6039													
121	6160													
121	6281													
122	6403													
123	6526													
124	6650													
126	6776													
206	6982	0												
129	7111													
131	7242													
132	7374													
133	7507													
133	7640													
133	7773													
136	7909													
136	8045													
138	8183													
138	8321													
138	8459													
138	8597													
139	8736													
142	8878													
143	9021													
143	9164													
143	9307													
144	9451													
145	9596													
145	9741													
146	9887													
146	10033													
149	10182													
149	10331													
151	10482													
151	10633													
151	10784													
152	10936													
152	11088													
153	11241													
153	11394													
153	11547													
155	11702													
156	11858													
157	12015													
159	12174													
160	12334													
161	12495													
161	12656													
162	12818													
163	12981													
163	13144													
164	13308													
165	13473													
167	13640													
170	13810													
171	13981													
175	14156													
175	14331													
177	14508													
179	14687													
203	14890													
204	15094													
204	15298													
205	15503													
206	15709													
206	15915													
206	16121													
208	16329													
209	16538													
210	16748													
210	16958													
210	17168													
210	17378													
210	17588													
211	17799													
211	18010													
213	18223													
215	18438													
217	18655													
220	18875													
220	19095													
222	19317													
224	19541													
224	19765													
224	19989													
224	20213													
226	20439													
226	20665													
226	20891													
226	21117													
229	21346													
229	21575													
232	21807													
234	22041													
234	22275													
234	22509													
234	22743													
235	22978													
235	23213													
236	23449													
237	23686													
238	23924													
239	24163													
241	24404													
241	24645													
243	24888													
243	25131													
245	25376													
245	25621													
246	25867													
247	26114													
247	26361													
248	26609													
249	26858													
249	27107													
250	27357													
251	27608													
254	27862													
254	28116													
254	28370													
255	28625													
255	28880													
257	29137													
259	29396													
260	29656													
261	29917													
261	30178													
262	30440													
262	30702													
262	30964													
262	31226													
263	31489													
266	31755													
268	32023													
269	32292													
269	32561													
271	32832													
271	33103													
271	33374													
272	33646													
273	33919													
273	34192													
273	34465													
274	34739													
275	35014													
276	35290													
277	35567													
277	35844													
279	36123													
279	36402													
280	36682													
282	36964													
282	37246													
284	37530													
284	37814													
285	38099													
286	38385													
287	38672													
287	38959													
289	39248													
289	39537													
290	39827													
290	40117													
291	40408													
291	40699													
293	40992													
293	41285													
293	41578													
294	41872													
295	42167													
297	42464													
297	42761													
297	43058													
300	43358													
301	43659													
301	43960													
301	44261													
303	44564													
305	44869													
306	45175													
308	45483													
309	45792													
310	46102													
311	46413													
312	46725													
313	47038													
314	47352													
315	47667													
317	47984													
317	48301													
318	48619													
322	48941													
322	49263													
323	49586													
323	49909													
324	50233													
327	50560													
328	50888													
328	51216													
329	51545													
330	51875													
330	52205													
330	52535													
331	52866													
331	53197													
331	53528													
331	53859													
333	54192													
335	54527													
335	54862													
336	55198													
337	55535													
337	55872													
338	56210													
346	56556													
346	56902													
348	57250													
349	57599													
350	57949													
352	58301													
352	58653													
352	59005													
353	59358													
353	59711													
353	60064													
354	60418													
354	60772													
356	61128													
358	61486													
359	61845													
360	62205													
360	62565													
361	62926													
361	63287													
364	63651													
364	64015													
364	64379													
365	64744													
365	65109													
367	65476													
367	65843													
367	66210													
368	66578													
372	66950													
373	67323													
374	67697													
374	68071													
374	68445													
375	68820													
377	69197													
377	69574													
380	69954													
380	70334													
380	70714													
381	71095													
381	71476													
383	71859													
386	72245													
388	72633													
388	73021													
389	73410													
390	73800													
392	74192													
393	74585													
398	74983													
398	75381													
398	75779													
399	76178													
401	76579													
405	76984													
405	77389													
405	77794													
405	78199													
407	78606													
408	79014													
413	79427													
413	79840													
413	80253													
416	80669													
418	81087													
418	81505													
419	81924													
420	82344													
420	82764													
421	83185													
425	83610													
425	84035													
425	84460													
425	84885													
427	85312													
427	85739													
427	86166													
427	86593													
429	87022													
429	87451													
429	87880													
430	88310													
431	88741													
431	89172													
431	89603													
432	90035													
433	90468													
434	90902													
435	91337													
435	91772													
435	92207													
436	92643													
436	93079													
437	93516													
438	93954													
439	94393													
439	94832													
440	95272													
440	95712													
441	96153													
443	96596													
446	97042													
446	97488													
447	97935													
449	98384													
449	98833													
450	99283													
451	99734													
453	100187													
453	100640													
453	101093													
454	101547													
454	102001													
456	102457													
457	102914													
459	103373													
459	103832													
460	104292													
461	104753													
461	105214													
462	105676													
463	106139													
465	106604													
465	107069													
465	107534													
465	107999													
466	108465													
467	108932													
468	109400													
469	109869													
469	110338													
469	110807													
470	111277													
470	111747													
470	112217													
472	112689													
473	113162													
474	113636													
474	114110													
476	114586													
476	115062													
477	115539													
478	116017													
481	116498													
481	116979													
482	117461													
482	117943													
483	118426													
486	118912													
487	119399													
489	119888													
491	120379													
491	120870													
492	121362													
493	121855													
494	122349													
495	122844													
496	123340													
497	123837													
498	124335													
499	124834													
503	125337													
503	125840													
510	126350													
511	126861													
512	127373													
512	127885													
515	128400													
517	128917													
518	129435													
518	129953													
520	130473													
521	130994													
521	131515													
523	132038													
523	132561													
523	133084													
524	133608													
524	134132													
529	134661													
529	135190													
531	135721													
532	136253													
536	136789													
536	137325													
537	137862													
540	138402													
541	138943													
541	139484													
541	140025													
543	140568													
543	141111													
544	141655													
544	142199													
544	142743													
544	143287													
545	143832													
545	144377													
545	144922													
546	145468													
546	146014													
546	146560													
550	147110													
